code,name,kind,sido,sigungu,region_code,executive_code,aliases
LG-11000,서울특별시,local_gov,서울특별시,,11000,,서울시청|서울특별시청|서울시
CN-11000,서울특별시의회,council,서울특별시,,11000,LG-11000,
EO-11000,서울특별시교육청,education_office,서울특별시,,11000,,
LG-11110,서울특별시 종로구,local_gov,서울특별시,종로구,11110,,
CN-11110,서울특별시 종로구의회,council,서울특별시,종로구,11110,LG-11110,
LG-11140,서울특별시 중구,local_gov,서울특별시,중구,11140,,서울 중구|서울중구청
CN-11140,서울특별시 중구의회,council,서울특별시,중구,11140,LG-11140,
LG-11170,서울특별시 용산구,local_gov,서울특별시,용산구,11170,,
CN-11170,서울특별시 용산구의회,council,서울특별시,용산구,11170,LG-11170,
LG-11200,서울특별시 성동구,local_gov,서울특별시,성동구,11200,,
CN-11200,서울특별시 성동구의회,council,서울특별시,성동구,11200,LG-11200,
LG-11215,서울특별시 광진구,local_gov,서울특별시,광진구,11215,,
CN-11215,서울특별시 광진구의회,council,서울특별시,광진구,11215,LG-11215,
LG-11230,서울특별시 동대문구,local_gov,서울특별시,동대문구,11230,,
CN-11230,서울특별시 동대문구의회,council,서울특별시,동대문구,11230,LG-11230,
LG-11260,서울특별시 중랑구,local_gov,서울특별시,중랑구,11260,,
CN-11260,서울특별시 중랑구의회,council,서울특별시,중랑구,11260,LG-11260,
LG-11290,서울특별시 성북구,local_gov,서울특별시,성북구,11290,,
CN-11290,서울특별시 성북구의회,council,서울특별시,성북구,11290,LG-11290,
LG-11305,서울특별시 강북구,local_gov,서울특별시,강북구,11305,,
CN-11305,서울특별시 강북구의회,council,서울특별시,강북구,11305,LG-11305,
LG-11320,서울특별시 도봉구,local_gov,서울특별시,도봉구,11320,,
CN-11320,서울특별시 도봉구의회,council,서울특별시,도봉구,11320,LG-11320,
LG-11350,서울특별시 노원구,local_gov,서울특별시,노원구,11350,,
CN-11350,서울특별시 노원구의회,council,서울특별시,노원구,11350,LG-11350,
LG-11380,서울특별시 은평구,local_gov,서울특별시,은평구,11380,,
CN-11380,서울특별시 은평구의회,council,서울특별시,은평구,11380,LG-11380,
LG-11410,서울특별시 서대문구,local_gov,서울특별시,서대문구,11410,,
CN-11410,서울특별시 서대문구의회,council,서울특별시,서대문구,11410,LG-11410,
LG-11440,서울특별시 마포구,local_gov,서울특별시,마포구,11440,,
CN-11440,서울특별시 마포구의회,council,서울특별시,마포구,11440,LG-11440,
LG-11470,서울특별시 양천구,local_gov,서울특별시,양천구,11470,,
CN-11470,서울특별시 양천구의회,council,서울특별시,양천구,11470,LG-11470,
LG-11500,서울특별시 강서구,local_gov,서울특별시,강서구,11500,,
CN-11500,서울특별시 강서구의회,council,서울특별시,강서구,11500,LG-11500,
LG-11530,서울특별시 구로구,local_gov,서울특별시,구로구,11530,,
CN-11530,서울특별시 구로구의회,council,서울특별시,구로구,11530,LG-11530,
LG-11545,서울특별시 금천구,local_gov,서울특별시,금천구,11545,,
CN-11545,서울특별시 금천구의회,council,서울특별시,금천구,11545,LG-11545,
LG-11560,서울특별시 영등포구,local_gov,서울특별시,영등포구,11560,,
CN-11560,서울특별시 영등포구의회,council,서울특별시,영등포구,11560,LG-11560,
LG-11590,서울특별시 동작구,local_gov,서울특별시,동작구,11590,,
CN-11590,서울특별시 동작구의회,council,서울특별시,동작구,11590,LG-11590,
