code,name,kind,sido,sigungu,region_code,executive_code,aliases
LG-11000,서울특별시,local_gov,서울특별시,,11000,,서울시청|서울특별시청|서울시
LG-26000,부산광역시,local_gov,부산광역시,,26000,,부산시청|부산광역시청|부산시
LG-41000,경기도,local_gov,경기도,,41000,,경기도청
LG-11680,서울특별시 강남구,local_gov,서울특별시,강남구,11680,,강남구청|서울 강남구|서울시 강남구|강남구
CN-11680,서울특별시 강남구의회,council,서울특별시,강남구,11680,LG-11680,강남구의회|서울 강남구의회
LG-41130,경기도 성남시,local_gov,경기도,성남시,41130,,성남시청|성남시
CN-41130,경기도 성남시의회,council,경기도,성남시,41130,LG-41130,성남시의회
LG-41110,경기도 수원시,local_gov,경기도,수원시,41110,,수원시청|수원시|수원특례시|수원특례시청
CN-41110,경기도 수원시의회,council,경기도,수원시,41110,LG-41110,수원시의회|수원특례시의회
LG-26350,부산광역시 해운대구,local_gov,부산광역시,해운대구,26350,,해운대구청|해운대구|부산 해운대구
CN-26350,부산광역시 해운대구의회,council,부산광역시,해운대구,26350,LG-26350,해운대구의회
LG-30200,대전광역시 유성구,local_gov,대전광역시,유성구,30200,,유성구청|유성구|대전 유성구
CN-30200,대전광역시 유성구의회,council,대전광역시,유성구,30200,LG-30200,유성구의회
LG-46150,전라남도 순천시,local_gov,전라남도,순천시,46150,,순천시청|순천시
CN-46150,전라남도 순천시의회,council,전라남도,순천시,46150,LG-46150,순천시의회
LG-47110,경상북도 포항시,local_gov,경상북도,포항시,47110,,포항시청|포항시
CN-47110,경상북도 포항시의회,council,경상북도,포항시,47110,LG-47110,포항시의회
LG-50000,제주특별자치도,local_gov,제주특별자치도,,50000,,제주도청|제주특별자치도청|제주도
CN-50000,제주특별자치도의회,council,제주특별자치도,,50000,LG-50000,제주도의회
LG-28185,인천광역시 연수구,local_gov,인천광역시,연수구,28185,,연수구청|연수구|인천 연수구
CN-28185,인천광역시 연수구의회,council,인천광역시,연수구,28185,LG-28185,연수구의회
LG-36110,세종특별자치시,local_gov,세종특별자치시,,36110,,세종시청|세종특별자치시청|세종시
CN-36110,세종특별자치시의회,council,세종특별자치시,,36110,LG-36110,세종시의회
LG-11140,서울특별시 중구,local_gov,서울특별시,중구,11140,,서울 중구|서울중구청
LG-26110,부산광역시 중구,local_gov,부산광역시,중구,26110,,부산 중구|부산중구청
LG-27110,대구광역시 중구,local_gov,대구광역시,중구,27110,,대구 중구|대구중구청
LG-28110,인천광역시 중구,local_gov,인천광역시,중구,28110,,인천 중구|인천중구청
LG-30140,대전광역시 중구,local_gov,대전광역시,중구,30140,,대전 중구|대전중구청
LG-31110,울산광역시 중구,local_gov,울산광역시,중구,31110,,울산 중구|울산중구청
LG-26170,부산광역시 동구,local_gov,부산광역시,동구,26170,,부산 동구
LG-27140,대구광역시 동구,local_gov,대구광역시,동구,27140,,대구 동구
LG-29110,광주광역시 동구,local_gov,광주광역시,동구,29110,,광주 동구
LG-30110,대전광역시 동구,local_gov,대전광역시,동구,30110,,대전 동구
LG-31170,울산광역시 동구,local_gov,울산광역시,동구,31170,,울산 동구
LG-26230,부산광역시 부산진구,local_gov,부산광역시,부산진구,26230,,부산진구청|부산진구
EO-41000,경기도교육청,education_office,경기도,,41000,,경기교육청|경기도 교육청
PA-EXKR,한국도로공사,public_agency,경상북도,,47230,,도로공사|한국도로공사 본사
